Professor,University,Conference,Homepage,Resolved Homepage,Selected Pages,Pages Parsed,Members Discovered,Current Members,Former Members,Failure Category,Navigation Confidence,Pipeline Status
Remzi H. Arpaci-Dusseau,University of Wisconsin-Madison,FAST; SOSP; NSDI,https://pages.cs.wisc.edu/~remzi/,https://pages.cs.wisc.edu/~remzi/,,0,0,0,0,navigation_failure,,skipped
Gregory R. Ganger,Carnegie Mellon University,SOSP; OSDI; FAST,http://www.ece.cmu.edu/~ganger/,http://www.ece.cmu.edu/~ganger/,https://www.pdl.cmu.edu/,1,0,0,0,page_classifier_rejection,0.805,page_rejected
Andrea C. Arpaci-Dusseau,University of Wisconsin-Madison,FAST; SOSP; NSDI,http://pages.cs.wisc.edu/~dusseau/,http://pages.cs.wisc.edu/~dusseau/,http://research.cs.wisc.edu/adsl/People/; http://research.cs.wisc.edu/wind,2,9,9,1,,1.0,success
Sylvia Ratnasamy,"University of California, Berkeley",SIGCOMM; NSDI; SOSP,https://people.eecs.berkeley.edu/~sylvia/,https://people.eecs.berkeley.edu/~sylvia/,,0,0,0,0,navigation_failure,,skipped
Natacha Crooks,"University of California, Berkeley",SOSP; NSDI; EuroSys,https://nacrooks.github.io/,https://nacrooks.github.io/,https://sky.berkeley.edu; https://nacrooks.github.io/students/,2,7,7,7,,0.708,success
Peter R. Pietzuch,University of Kentucky,NSDI; SOSP; ATC,http://www.doc.ic.ac.uk/~prp/,http://www.doc.ic.ac.uk/~prp/,http://www.cl.cam.ac.uk/; http://lsds.doc.ic.ac.uk,2,0,0,0,page_classifier_rejection,0.708,page_rejected
Jason Nieh,Columbia University,OSDI; SOSP; ATC,http://www.cs.columbia.edu/~nieh/,http://www.cs.columbia.edu/~nieh/,http://systems.cs.columbia.edu/,1,20,20,101,,0.708,success
Ming Liu 0027,University of Wisconsin-Madison,NSDI; SIGCOMM; SOSP,https://mgliu.sites.cs.wisc.edu/index.html,https://pages.cs.wisc.edu/~mgliu/teaching.html,,0,0,0,0,navigation_failure,,skipped
Christos Kozyrakis,Stanford University,SOSP; ASPLOS; OSDI,http://csl.stanford.edu/~christos/,http://csl.stanford.edu/~christos/,http://csl.stanford.edu/~christos/students.html; http://platformlab.stanford.edu,2,7,7,0,,1.0,success
Ramesh Govindan,University of Southern California,SIGCOMM; NSDI,http://pollux.usc.edu/~ramesh/,http://pollux.usc.edu/~ramesh/,,0,0,0,0,homepage_resolution_failure,,skipped
T. S. Eugene Ng,Rice University,SIGCOMM; NSDI; OSDI,,,,0,0,0,0,no_homepage,,skipped
Yifan Qiao 0002,"University of California, Berkeley",NSDI; OSDI; SOSP,https://yifanqiao.com/,https://yifanqiao.com/,https://sky.cs.berkeley.edu/; https://pdos.csail.mit.edu/,2,0,0,0,page_classifier_rejection,0.805,page_rejected
Alex C. Snoeren,"University of California, San Diego",SIGCOMM; ATC; NSDI,http://www.cs.ucsd.edu/~snoeren/,http://www.cs.ucsd.edu/~snoeren/,http://www.sysnet.ucsd.edu,1,0,0,0,page_classifier_rejection,0.556,page_rejected
Sam H. Noh,Virginia Polytechnic Institute and State University,FAST; EuroSys; ATC,http://next.unist.ac.kr/professor,http://next.unist.ac.kr/professor,,0,0,0,0,homepage_resolution_failure,,skipped
